Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Man P/N, Description, Price, Cost, TLP291, Digikey P/N,
C31,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C18,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C38,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C17,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C12,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C42,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C1,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C37,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C2,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C7,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C40,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C33,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C16,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C8,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C23,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C45,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C43,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C15,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C44,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C22,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C26,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C14,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C25,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
R10,137k,Resistors_SMD:R_0805_HandSoldering,,P137KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1373V/P137KCCT-ND/119590,ERJ-6ENF1373V,RES SMD 137K OHM 1% 1/8W 0805,0.1,,,,
R36,137k,Resistors_SMD:R_0805_HandSoldering,,P137KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1373V/P137KCCT-ND/119590,ERJ-6ENF1373V,RES SMD 137K OHM 1% 1/8W 0805,0.1,,,,
R42,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R50,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R31,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R28,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R29,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R6,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R3,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R4,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R7,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R56,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R11,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R43,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R17,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R60,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R13,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R5,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R21,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R41,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R40,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R39,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R62,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R63,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R57,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R14,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R18,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R22,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R8,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R23,47u,Capacitors_SMD:C_1210_HandSoldering,,490-6538-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM32ER61C476KE15K/490-6538-1-ND/3845735,GRM32ER61C476KE15K,CAP CER 47UF 16V X5R 1210,0.86,,,,
C4,665k,Resistors_SMD:R_0805_HandSoldering,,P665KCCT-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF6653V/P665KCCT-ND/20071,ERJ-6ENF6653V,RES SMD 665K OHM 1% 1/8W 0805,0.1,,,,
R9,SW_PUSH,custom_footprints:SW_RACON_8,http://media.digikey.com/pdf/Data%20Sheets/C&K/RACON_8,1715-1676-1-ND,http://www.digikey.com/products/en?keywords=ckn9363ct-nd,1.14100.5030000,SWITCH PUSH SPST-NO 0.1A 42V,2.4,,,,
SW1,JS202011CQN,custom_footprints:CK_DPDT_Switch,http://www.ckswitches.com/media/1422/js.pdf,401-2001-ND,http://www.digikey.com/product-detail/en/c-k/JS202011CQN/401-2001-ND/1640097,JS202011CQN,SWITCH SLIDE DPDT 300MA 6V,0.41,,,,
SW3,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R2,250k,Resistors_SMD:R_0805_HandSoldering,,P249KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2493V/P249KCCT-ND/119664,ERJ-6ENF2493V,RES SMD 249K OHM 1% 1/8W 0805,0.1,,,,
Q3,MMBF170,TO_SOT_Packages_SMD:SOT-23,https://www.fairchildsemi.com/datasheets/MM/MMBF170.pdf,MMBF170CT-ND,http://www.digikey.com/product-detail/en/fairchild-on-semiconductor/MMBF170/MMBF170CT-ND/244295,MMBF170,MOSFET N-CH 60V 500MA SOT-23,0.35,,,,
R1,665k,Resistors_SMD:R_0805_HandSoldering,,P665KCCT-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF6653V/P665KCCT-ND/20071,ERJ-6ENF6653V,RES SMD 665K OHM 1% 1/8W 0805,0.1,,,,
U4,LM95071-Q1,TO_SOT_Packages_SMD:SOT-23-5_HandSoldering,http://www.ti.com/lit/ds/symlink/lm95071-q1.pdf,296-40259-1-ND,https://www.digikey.com/products/en/sensors-transducers/temperature-sensors-analog-and-digital-output/518?k=temperature+sensor&k=&pkeyword=temperature+sensor&s=39106&FV=fff4001e%2Cfff80137%2Cffe00206%2C1c0002%2Ca401d5%2C1f140000&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=25,LM95071QIMFX/NOPB,"	SENSOR TEMPERATURE SPI SOT23-5",2.9,,,,
J4,Motor_Ctrl,custom_footprints:Molex_4x1_2.54mm,,WM4802-ND,https://www.digikey.com/product-detail/en/molex-llc/0705430003/WM4802-ND/114923,705430003,CONN HEADER 4POS .100 VERT GOLD,0.94,,,,
J5,RJ12,custom_footprints:MOLEX_RJ11,,WM3789CT-ND,http://www.digikey.com/product-search/en?keywords=WM3789CT-ND,855135002,CONN MOD JACK 6P6C VERT UNSHLD,,,,,
P1,TSV,custom_footprints:AMPCONN_2,,A113980-ND,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/556881-2/A113980-ND/294120,556881-2,CONN RCPT 2POS 11.18MM PCB SLDR,7.13,,,,
CON1,AVR-JTAG-10,custom_footprints:JTAG,,609-4054-ND,http://www.digikey.com/product-detail/en/20021521-00010T1LF/609-4054-ND/2414951,20021521-00010T1LF,CONN HEADER 10POS DUAL SHRD SMD,1.11,,,,
J1,Spare_Conns,custom_footprints:Molex_8x1_2.54mm,,WM4128-ND,https://www.digikey.com/product-detail/en/molex-llc/0705430112/WM4128-ND/1643361,705430112,CONN HEADER 8POS .100 VERT 30AU,1.88,,,,
P3,CONN_02X07,Connect:IDC_Header_Straight_14pins,,WM8632-ND,https://www.digikey.com/product-detail/en/molex-connector-corporation/0905711141/WM8632-ND/3044753,905711141,CONN HEADER 14POS 2.54MM VERT,2.4,,,,
P2,CONN_02X10,Connect:IDC_Header_Straight_20pins,,WM14741-ND,https://www.digikey.com/product-detail/en/molex-llc/0906631201/WM14741-ND/3469224,906631201,QF50 SRD HDR VT .1AU 20POS,2.31,,,,
R12,150,Resistors_SMD:R_0805_HandSoldering,,311-150CRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0805FR-07150RL/311-150CRCT-ND/730560,RC0805FR-07150RL,RES SMD 150 OHM 1% 1/8W 0805,0.1,,,,
D1,Power,LEDs:LED_0805,,475-1410-1-ND,http://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LG-R971-KN-1/475-1410-1-ND/1802598,LG R971-KN-1,,,,,,
D2,Heartbeat,LEDs:LED_0805,,475-2560-1-ND,http://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LY-R976-PS-36/475-2560-1-ND/1802687,LY R976-PS-36,,,,,,
D3,Spare/Fault,LEDs:LED_0805,,475-1278-1-ND,http://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LS-R976-NR-1/475-1278-1-ND/1642798,LS R976-NR-1,,,,,,
D4,Spare,LEDs:LED_0805,,516-1445-1-ND,http://www.digikey.com/product-detail/en/broadcom-limited/HSMR-C170/516-1445-1-ND/637769,HSMR-C170,,,,,,
R15,150,Resistors_SMD:R_0805_HandSoldering,,311-150CRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0805FR-07150RL/311-150CRCT-ND/730560,RC0805FR-07150RL,RES SMD 150 OHM 1% 1/8W 0805,0.1,,,,
U16,LTC3638,custom_footprints:TSSOP16_LTC3638,http://cds.linear.com/docs/en/datasheet/3638fa.pdf,LTC3638EMSE#PBF-ND,http://www.digikey.com/product-detail/en/linear-technology/LTC3638EMSE-PBF/LTC3638EMSE-PBF-ND/4693775,LTC3638EMSE#PBF,,,,,,
L1,100uH,Inductors:Inductor_Taiyo-Yuden_NR-80xx_HandSoldering,http://www.yuden.co.jp/productdata/catalog/en/wound04_e.pdf,587-2004-1-ND,https://www.digikey.com/product-detail/en/taiyo-yuden/NR8040T101M/587-2004-1-ND/1739117,NR8040T101M,FIXED IND 100UH 1A 377 MOHM SMD,0.6,,,,
D5,D_Schottky,custom_footprints:do214ac,,SK310A-LTPMSCT-ND,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,SK310A-LTP,"	DIODE SCHOTTKY 100V 3A DO214AC",,,,,
C19,10uF,Capacitors_SMD:C_0805_HandSoldering,,490-10515-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR6YA106ME43L/490-10515-1-ND/5026446,GRM21BR6YA106ME43L,,,,,,
