Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Man P/N, Description, Price, Cost, TLP291, Digikey P/N,
R33,499,Resistors_SMD:R_0805_HandSoldering,,P499DACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB4990V/P499DACT-ND/3075160,ERA-6AEB4990V,,,,,,
R34,4.75k,Resistors_SMD:R_0805_HandSoldering,,P4.75KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4751V/P4.75KCCT-ND/119155,ERJ-6ENF4751V,,,,,,
R32,4.75k,Resistors_SMD:R_0805_HandSoldering,,P4.75KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4751V/P4.75KCCT-ND/119155,ERJ-6ENF4751V,,,,,,
R79,499,Resistors_SMD:R_0805_HandSoldering,,P499DACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB4990V/P499DACT-ND/3075160,ERA-6AEB4990V,,,,,,
R81,499,Resistors_SMD:R_0805_HandSoldering,,P499DACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB4990V/P499DACT-ND/3075160,ERA-6AEB4990V,,,,,,
R82,499,Resistors_SMD:R_0805_HandSoldering,,P499DACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB4990V/P499DACT-ND/3075160,ERA-6AEB4990V,,,,,,
R83,499,Resistors_SMD:R_0805_HandSoldering,,P499DACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB4990V/P499DACT-ND/3075160,ERA-6AEB4990V,,,,,,
R80,9.31k,Resistors_SMD:R_0805_HandSoldering,https://industrial.panasonic.com/ww/products/resistors/chip-resistors/general-purpose-chip-resistors/precision-thick-film-chip-resistors/ERJ6ENF9311V,P9.31KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF9311V/P9.31KCCT-ND/119238,ERJ-6ENF9311V,,,,,,
R26,2k,Resistors_SMD:R_0805_HandSoldering,,P2.00KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2001V/P2.00KCCT-ND/119044,ERJ-6ENF2001V,,,,,,
R25,2k,Resistors_SMD:R_0805_HandSoldering,,P2.00KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2001V/P2.00KCCT-ND/119044,ERJ-6ENF2001V,,,,,,
R49,16k,Resistors_SMD:R_0805_HandSoldering,,P16KACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6GEYJ163V/P16KACT-ND/81698,ERJ-6GEYJ163V,,,,,,
R47,16k,Resistors_SMD:R_0805_HandSoldering,,P16KACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6GEYJ163V/P16KACT-ND/81698,ERJ-6GEYJ163V,,,,,,
R53,16k,Resistors_SMD:R_0805_HandSoldering,,P16KACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6GEYJ163V/P16KACT-ND/81698,ERJ-6GEYJ163V,,,,,,
R45,16k,Resistors_SMD:R_0805_HandSoldering,,P16KACT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6GEYJ163V/P16KACT-ND/81698,ERJ-6GEYJ163V,,,,,,
U24,TLP293,Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm,,TLP293(GB-TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GB-TPL,"TLP293(GB-TPL,E",OPTOISOLATOR 3.75KV TRANS 4-SO,0.52,,,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP291(GB-TP,SE/TLP291(GB-TPSECT-ND/4562949
JP1,JUMPER3,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,http://www.omron.com/ecb/products/pdf/en-opc.pdf,Z5375-ND,http://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/XG8V-0331/Z5375-ND/4947407,XG8V-0331,JUMPER PLUG 3POS SING ROW,0.26,,,,
R24,100k,Resistors_SMD:R_0805_HandSoldering,,P100KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551,ERJ-6ENF1003V,RES SMD 100K OHM 1% 1/8W 0805,0.1,,,,
R30,100k,Resistors_SMD:R_0805_HandSoldering,,P100KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551,ERJ-6ENF1003V,RES SMD 100K OHM 1% 1/8W 0805,0.1,,,,
U6,TS912,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.st.com/content/ccc/resource/technical/document/datasheet/3b/16/fd/19/b8/21/40/7f/CD00000501.pdf/files/CD00000501.pdf/jcr:content/translations/en.CD00000501.pdf,497-10252-1-ND,http://www.digikey.com/product-detail/en/stmicroelectronics/TS912IYDT/497-10252-1-ND/2193329,TS912IYDT,"	IC OPAMP GP 1.4MHZ RRO 8SO",1.54,,,,
U5,LM7810CT,custom_footprints:TO-220_Horizontal_Plated_Hole,https://www.fairchildsemi.com/datasheets/LM/LM7805.pdf,LM7810CT-ND,http://www.digikey.com/products/en?keywords=lm7810ct,LM7810CT,IC REG LDO 10V 1A TO220-3,0.64,,,,
